backward_nfe,epoch,forward_nfe,grad_0,grad_1,grad_10,grad_11,grad_12,grad_13,grad_14,grad_15,grad_16,grad_17,grad_18,grad_19,grad_2,grad_20,grad_21,grad_22,grad_23,grad_24,grad_25,grad_26,grad_27,grad_28,grad_29,grad_3,grad_30,grad_31,grad_32,grad_33,grad_34,grad_35,grad_36,grad_37,grad_38,grad_39,grad_4,grad_40,grad_41,grad_42,grad_43,grad_44,grad_45,grad_46,grad_47,grad_48,grad_49,grad_5,grad_50,grad_51,grad_52,grad_53,grad_54,grad_55,grad_56,grad_57,grad_58,grad_59,grad_6,grad_60,grad_61,grad_62,grad_63,grad_64,grad_7,grad_8,grad_9,loss,train_time,ts_loss,ts_nfe,va_loss,va_nfe
1284.7272727272727,0.0,1283.090909090909,0.11911256,0.114008896,0.07922423,0.076309554,0.07356508,0.070966244,0.06849243,0.06614107,0.06392007,0.06179851,0.059787482,0.057874255,0.109180816,0.0560575,0.05433567,0.05268957,0.051119886,0.049628373,0.048201248,0.046849575,0.04554553,0.04431074,0.0431323,0.10464226,0.042009532,0.040937174,0.039916344,0.038946178,0.03801037,0.03711897,0.036266815,0.035456344,0.034678373,0.03394048,0.10036672,0.033237938,0.032571625,0.031937014,0.031336952,0.030769087,0.030232199,0.029725084,0.02924906,0.028806232,0.028392518,0.096325755,0.028006272,0.027645677,0.027312465,0.027008975,0.026732493,0.02648429,0.026264835,0.026076486,0.02591744,0.025788143,0.092532285,0.025688771,0.025620714,0.025586404,0.025581444,0.0,0.08893624,0.08552177,0.082285166,3.071952,126.76511549949646,1.2141788,1280.0,1.2024791,1286.0
1281.6363636363637,1.0,1280.7272727272727,0.013782707,0.013566055,0.012023345,0.011887229,0.011755956,0.011630383,0.011508031,0.011390991,0.011277221,0.011166568,0.011058854,0.010953182,0.01335817,0.010849475,0.010747245,0.010645638,0.01054548,0.010446585,0.010348294,0.010250937,0.010154233,0.010056715,0.009960535,0.013162374,0.009865931,0.009771314,0.009677036,0.009583666,0.009490481,0.009397849,0.009305214,0.009212813,0.00912066,0.0090302145,0.012974084,0.008940841,0.008854391,0.008769194,0.0086856205,0.008604907,0.008526636,0.008451218,0.0083798915,0.008313283,0.008250995,0.012796807,0.008194062,0.008141663,0.008095012,0.008055954,0.008023883,0.008000133,0.007985206,0.007981447,0.007989511,0.008009195,0.012627762,0.008042353,0.008088437,0.008151516,0.008231574,0.0,0.012466561,0.012312038,0.012163836,1.0417876,126.46812677383423,nan,nan,0.9754612,1280.0
1281.6363636363637,2.0,1280.1818181818182,0.010122468,0.009997411,0.009122703,0.009047818,0.008976028,0.00890788,0.008841691,0.008778573,0.008718513,0.008660115,0.008604135,0.008549331,0.009878189,0.008496517,0.008444903,0.0083938185,0.008343987,0.008294849,0.008246187,0.008198785,0.0081518795,0.008104699,0.008058694,0.00976578,0.008013427,0.007968134,0.00792354,0.007879388,0.00783588,0.0077926805,0.0077498034,0.0077073355,0.0076649063,0.007623688,0.009658173,0.007583108,0.0075434963,0.0075043724,0.0074654375,0.0074278805,0.007391098,0.007354908,0.0073203635,0.00728762,0.0072567193,0.009557154,0.0072280667,0.0072019724,0.007179466,0.0071613337,0.007149078,0.007144015,0.007147949,0.007163684,0.007194518,0.00724221,0.009460975,0.0073122494,0.007405887,0.007532219,0.0076943384,0.0,0.009369653,0.009282676,0.009200321,0.9639406,126.55258274078369,nan,nan,0.9561736,1280.0
1280.0,3.0,1280.0,0.009066699,0.008965955,0.008216366,0.008150112,0.00808662,0.008026369,0.007968445,0.00791347,0.007861432,0.0078114686,0.0077640885,0.0077185524,0.008867699,0.0076754326,0.007633738,0.007593517,0.007554903,0.0075174593,0.0074811224,0.0074463803,0.007412599,0.007379344,0.0073477705,0.008774117,0.0073170513,0.007286803,0.007257595,0.0072290553,0.0072013517,0.007174077,0.0071473,0.0071216086,0.0070964103,0.007072056,0.008683157,0.007048716,0.00702638,0.0070050224,0.0069841784,0.006964771,0.006946288,0.00692877,0.006912626,0.006898187,0.0068856385,0.0085967155,0.006874984,0.006866502,0.0068605454,0.0068575786,0.0068594716,0.0068676085,0.006883995,0.00691267,0.0069590765,0.0070284246,0.008513911,0.0071316585,0.007278279,0.007488839,0.007778708,0.0,0.00843435,0.008357789,0.008285166,0.95033586,126.20369839668274,nan,nan,0.9434918,1280.0
1280.0,4.0,1280.0,0.008310679,0.00822818,0.00760711,0.007552045,0.0074995514,0.0074491873,0.0074010086,0.007355563,0.0073129768,0.0072720274,0.0072331987,0.0071966033,0.008147122,0.007162427,0.007129764,0.007098871,0.0070698215,0.007042115,0.0070158076,0.006990972,0.0069676437,0.0069447565,0.0069237147,0.008069657,0.0069033196,0.006883453,0.0068645533,0.006846098,0.006828214,0.006810295,0.006792754,0.0067758486,0.0067588193,0.0067419824,0.007994361,0.0067256987,0.006709876,0.0066943844,0.006678934,0.0066645807,0.006650991,0.006638512,0.0066275494,0.006618963,0.006612949,0.007922906,0.006609616,0.006609348,0.006612685,0.0066201496,0.0066326354,0.006651726,0.00667776,0.0067143426,0.0067671314,0.0068440298,0.007854252,0.0069621094,0.007145246,0.0074400576,0.007905987,0.0,0.0077882004,0.0077247233,0.00766436,0.941166,126.26522135734558,nan,nan,0.937502,1280.0
1280.0,5.0,1280.0,0.008141626,0.0080662165,0.007485744,0.007432585,0.007381721,0.0073328847,0.0072858487,0.007241447,0.0071994993,0.00715939,0.0071212575,0.0070858453,0.007991514,0.0070528025,0.007021457,0.0069924034,0.0069655147,0.006940848,0.006917986,0.006897007,0.0068782186,0.0068605714,0.0068455255,0.007919928,0.0068315556,0.0068189446,0.00680797,0.006798116,0.0067891646,0.0067808595,0.00677323,0.0067665386,0.0067601684,0.00675376,0.007850317,0.006747742,0.0067418134,0.0067357724,0.006729122,0.0067225997,0.006715767,0.006709191,0.0067028096,0.0066978405,0.0066946037,0.00778403,0.0066934964,0.00669557,0.0067019355,0.006714177,0.0067336336,0.0067628925,0.0068020336,0.006854386,0.0069240294,0.0070169866,0.0077199917,0.007151693,0.0073644486,0.007737075,0.008425018,0.0,0.0076580094,0.007598152,0.0075407294,0.9353139,126.14252924919128,nan,nan,0.93608814,1280.0
1280.0,6.0,1280.0,0.008033188,0.007967113,0.0074497857,0.0074007288,0.007353535,0.007307977,0.007263911,0.007222008,0.007182386,0.007144249,0.0071078767,0.007073989,0.007901691,0.00704225,0.0070120944,0.0069844453,0.006958906,0.0069358973,0.006914838,0.0068958555,0.0068794577,0.0068647657,0.0068532606,0.007838914,0.006843274,0.00683547,0.0068302285,0.006826814,0.006825141,0.006824918,0.006826237,0.006829315,0.006833682,0.0068388046,0.0077778473,0.0068452107,0.0068523246,0.0068598804,0.006867061,0.006874589,0.0068815835,0.00688848,0.006894447,0.006900814,0.0069071557,0.007719387,0.0069139744,0.0069221426,0.0069330703,0.0069488827,0.0069717723,0.007006167,0.0070542167,0.007121712,0.007214594,0.0073391977,0.007662203,0.0075140046,0.0077790543,0.008246008,0.009200819,0.0,0.0076066926,0.007552722,0.0075003426,0.9298808,126.16401028633118,nan,nan,0.9280426,1280.0
1280.0,7.0,1280.0,0.008021837,0.007964243,0.007509766,0.007465692,0.007422982,0.0073819645,0.0073419153,0.007303758,0.007267599,0.0072329184,0.007199565,0.0071685654,0.007907411,0.007139289,0.007111587,0.0070859566,0.007062518,0.007041727,0.007022707,0.0070059374,0.0069917124,0.0069796555,0.0069708545,0.007852829,0.0069640502,0.006959986,0.006959019,0.0069605,0.006964352,0.0069702603,0.006978548,0.0069893375,0.0070023667,0.007017271,0.007799588,0.0070343786,0.007053127,0.00707353,0.0070947055,0.0071173897,0.0071402383,0.0071638166,0.0071867555,0.0072106724,0.0072337985,0.007748602,0.0072566113,0.007279305,0.0073023182,0.0073275813,0.0073566237,0.0073941913,0.007443583,0.0075129895,0.007613413,0.0077576917,0.007698321,0.007971902,0.008306925,0.008903962,0.010195637,0.0,0.007649412,0.007601633,0.0075550075,0.9213854,126.68127775192261,nan,nan,0.9170043,1280.0
1280.0,8.0,1280.0,0.008331612,0.00827961,0.007864691,0.007823481,0.0077834157,0.0077450187,0.007707426,0.007671565,0.007637393,0.007604589,0.00757298,0.00754343,0.008228657,0.0075153783,0.007488754,0.007464085,0.0074415267,0.007421522,0.007403282,0.0073873214,0.007373738,0.00736276,0.0073547903,0.008179377,0.0073490622,0.007346395,0.007347123,0.0073507265,0.0073571466,0.00736586,0.007377483,0.007391925,0.0074092094,0.007429182,0.008131184,0.0074519264,0.0074773515,0.00750522,0.00753499,0.0075672544,0.0076009324,0.007636707,0.007673446,0.007712989,0.0077533224,0.008084829,0.007794783,0.007837941,0.007882181,0.007929594,0.007979932,0.008036625,0.008100689,0.008177705,0.008277606,0.008416051,0.008038804,0.008629815,0.0089995535,0.009740896,0.011523063,0.0,0.007994032,0.007950086,0.007906859,0.9100164,126.22488975524902,nan,nan,0.9080255,1280.0
1280.0,9.0,1280.0,0.008747032,0.008697204,0.008293455,0.008252338,0.008212616,0.008174536,0.008137245,0.008101659,0.008067413,0.008034797,0.008003046,0.007973178,0.008648552,0.007944921,0.007918018,0.00789296,0.007870105,0.007849844,0.007831275,0.007815144,0.0078012445,0.0077905627,0.0077825603,0.008600819,0.007776897,0.0077745714,0.0077760275,0.0077806613,0.0077884747,0.0077989814,0.007812874,0.007829768,0.007849857,0.007873373,0.0085543,0.007900039,0.007930086,0.007963322,0.007998894,0.008037136,0.008077837,0.00812118,0.008166202,0.008214956,0.008265552,0.008509301,0.008318347,0.008374883,0.008434679,0.008501209,0.008574093,0.00865878,0.008755362,0.008868613,0.009001298,0.009159036,0.008464384,0.009361946,0.009689327,0.010473453,0.012986074,0.0,0.008420623,0.008377736,0.00833502,0.89720726,126.22933387756348,nan,nan,0.89595675,1280.0
